from,to,day,time
,מעלה אדומים,,בזמן לא ברור
,בש,,בזמן לא ברור
בש,ירושלים,שבת,10:30
בש,ירושלים,חמישי,18:30
בש,ירושלים,חמישי,18:30
ירושלים,ירושלים,חמישי,18:30
ירושלים,ירושלים,חמישי,18:30
בש,ירושלים,חמישי,18:30
בש,בש,חמישי,18:30
בש,בש,חמישי,18:30
בש,בש,רביעי,17:00
בש,בש,רביעי,20:00
בש,ירושלים,חמישי,18:00
בש,ירושלים,חמישי,15:00
בש,ירושלים,חמישי,15:00
בש,ירושלים,רביעי,19:30
בש,ירושלים,רביעי,06:15
בש,ירושלים,חמישי,06:15
ירושלים,ירושלים,חמישי,06:15
ירושלים,ירושלים,חמישי,19:00
ירושלים,ירושלים,חמישי,19:00
ירושלים,ירושלים,חמישי,19:00
ירושלים,ראשון,חמישי,19:00
ירושלים,ראשון,חמישי,19:00
ירושלים,ראשון,חמישי,19:00
ירושלים,ירושלים,חמישי,19:00
ירושלים,ראשון לציון,חמישי,19:00
